order_id,user_id,product_id,order_date,quantity,amount,payment
O000001,U01141,P0082,2025-03-07,1,27.66,CreditCard
O000002,U01004,P0190,2025-04-05,2,57.73,Wechat
O000003,U08485,P0033,2025-03-23,3,27.15,Alipay
O000004,U01745,P0110,2025-03-18,4,9.81,Wechat
O000005,U07654,P0140,2025-01-02,2,54.79,Wechat
O000006,U09246,P0138,2025-01-02,3,29.58,Alipay
O000007,U00131,P0185,2025-02-02,3,98.42,CreditCard
O000008,U03667,P0196,2025-04-27,4,79.99,CreditCard
O000009,U07785,P0124,2025-02-12,4,42.11,Alipay
O000010,U01900,P0192,2025-04-27,1,79.59,Wechat
O000011,U02298,P0075,2025-05-09,1,60.99,Alipay
O000012,U07877,P0178,2025-02-02,3,16.18,CreditCard
O000013,U03251,P0100,2025-05-10,1,54.73,Wechat
O000014,U00142,P0016,2025-06-04,3,17.56,Alipay
O000015,U01200,P0038,2025-01-22,3,21.63,Wechat
O000016,U04566,P0184,2025-02-06,2,31.62,Wechat
O000017,U04756,P0076,2025-02-19,2,49.48,Alipay
O000018,U00850,P0174,2025-02-25,4,40.79,Alipay
O000019,U07325,P0124,2025-06-18,3,23.69,Alipay
O000020,U07000,P0194,2025-01-25,2,84.42,Wechat
O000021,U09545,P0149,2025-06-23,3,91.98,CreditCard
O000022,U06164,P0028,2025-05-02,1,33.42,Alipay
O000023,U05733,P0112,2025-06-06,1,80.76,Alipay
O000024,U07459,P0198,2025-04-14,4,79.68,Alipay
O000025,U09950,P0011,2025-03-17,1,53.37,CreditCard
O000026,U08586,P0097,2025-06-24,4,70.59,Wechat
O000027,U04359,P0074,2025-02-19,3,11.93,Wechat
O000028,U06008,P0158,2025-01-05,4,58.05,Wechat
O000029,U02268,P0073,2025-02-11,3,24.43,CreditCard
O000030,U05973,P0175,2025-04-08,2,14.94,Wechat
O000031,U03282,P0160,2025-04-28,4,52.86,CreditCard
O000032,U01446,P0033,2025-02-16,3,30.03,CreditCard
O000033,U04234,P0195,2025-01-20,4,19.13,Wechat
O000034,U00218,P0181,2025-06-09,1,9.15,Alipay
O000035,U04662,P0093,2025-01-06,2,29.57,Alipay
O000036,U06904,P0063,2025-06-21,3,52.57,Wechat
O000037,U08075,P0086,2025-01-30,2,39.73,CreditCard
O000038,U01354,P0030,2025-05-31,1,39.12,Alipay
O000039,U01576,P0191,2025-01-10,4,71.92,Wechat
O000040,U02481,P0102,2025-01-18,4,55.68,Alipay
O000041,U08257,P0008,2025-01-03,1,28.47,Wechat
O000042,U05713,P0103,2025-02-04,4,20.56,CreditCard
O000043,U03424,P0184,2025-05-27,1,11.16,CreditCard
O000044,U05510,P0120,2025-03-08,3,43.76,CreditCard
O000045,U03331,P0143,2025-04-27,2,102.63,Wechat
O000046,U08317,P0074,2025-03-23,3,58.39,CreditCard
O000047,U08061,P0092,2025-02-22,4,32.69,Wechat
O000048,U01767,P0048,2025-06-03,3,30.98,Alipay
O000049,U07734,P0104,2025-05-27,4,54.47,CreditCard
O000050,U06299,P0065,2025-01-24,3,104.85,Wechat
O000051,U06347,P0106,2025-05-10,4,37.01,Alipay
O000052,U02553,P0062,2025-06-23,3,18.31,Wechat
O000053,U08108,P0024,2025-02-23,4,58.95,CreditCard
O000054,U06680,P0169,2025-02-05,1,71.62,Alipay
O000055,U08495,P0038,2025-04-04,4,67.99,Wechat
O000056,U08827,P0101,2025-03-21,4,92.52,Alipay
O000057,U02728,P0152,2025-03-09,3,41.31,CreditCard
O000058,U02106,P0172,2025-05-08,1,38.02,Alipay
O000059,U00564,P0011,2025-01-01,3,35.5,CreditCard
O000060,U02315,P0169,2025-06-22,3,75.65,Wechat
O000061,U00814,P0101,2025-05-20,4,51.65,Wechat
O000062,U06177,P0171,2025-03-19,2,40.8,Wechat
O000063,U09654,P0023,2025-03-23,3,40.98,Wechat
O000064,U05537,P0197,2025-05-24,1,32.43,Alipay
O000065,U08119,P0037,2025-02-23,2,24.97,Wechat
O000066,U03325,P0167,2025-04-13,2,28.9,CreditCard
O000067,U03247,P0166,2025-01-15,3,78.27,Wechat
O000068,U03557,P0108,2025-03-23,2,15.25,Alipay
O000069,U03290,P0183,2025-06-03,1,30.15,Wechat
O000070,U00932,P0015,2025-01-23,2,19.13,CreditCard
O000071,U00859,P0151,2025-01-10,3,35.65,CreditCard
O000072,U03847,P0151,2025-06-02,3,65.54,Wechat
O000073,U08537,P0114,2025-05-22,3,57.25,Wechat
O000074,U08712,P0080,2025-01-01,3,10.04,Wechat
O000075,U03779,P0135,2025-02-14,1,117.3,Alipay
O000076,U01057,P0072,2025-06-28,3,21.33,Alipay
O000077,U02945,P0154,2025-05-20,1,26.1,CreditCard
O000078,U03771,P0013,2025-06-24,1,60.26,Wechat
O000079,U03615,P0181,2025-03-09,2,14.67,CreditCard
O000080,U06959,P0107,2025-04-24,4,29.88,Wechat
O000081,U06841,P0198,2025-03-04,1,22.14,Alipay
O000082,U00406,P0137,2025-02-13,2,56.94,CreditCard
O000083,U02247,P0036,2025-01-22,1,36.42,CreditCard
O000084,U08519,P0110,2025-06-12,1,50.12,Wechat
O000085,U09373,P0195,2025-03-31,1,32.64,Alipay
O000086,U04202,P0179,2025-04-28,2,27.43,Alipay
O000087,U03610,P0089,2025-01-01,1,29.08,Wechat
O000088,U05716,P0010,2025-01-23,2,25.11,CreditCard
O000089,U04007,P0055,2025-05-21,2,50.84,Wechat
O000090,U08147,P0111,2025-06-06,2,41.55,Wechat
O000091,U08255,P0115,2025-06-04,2,34.51,Alipay
O000092,U09138,P0025,2025-02-05,2,61.87,CreditCard
O000093,U05054,P0192,2025-02-01,4,21.61,Wechat
O000094,U09936,P0109,2025-06-20,4,59.54,Wechat
O000095,U05833,P0105,2025-05-02,1,22.48,CreditCard
O000096,U01702,P0194,2025-01-08,4,51.34,Alipay
O000097,U07847,P0110,2025-05-05,3,48.31,CreditCard
O000098,U08115,P0131,2025-01-26,3,14.1,Alipay
O000099,U08697,P0033,2025-04-12,2,53.2,CreditCard
O000100,U03870,P0105,2025-02-25,1,60.89,Alipay
O000101,U05858,P0135,2025-05-20,2,32.07,Wechat
O000102,U06497,P0187,2025-01-23,4,63.0,CreditCard
O000103,U06579,P0118,2025-02-11,1,43.56,Wechat
O000104,U03016,P0041,2025-06-01,2,25.22,Alipay
O000105,U07273,P0112,2025-04-21,1,41.26,CreditCard
O000106,U00184,P0132,2025-06-26,1,57.88,CreditCard
O000107,U03191,P0177,2025-06-29,1,36.32,Alipay
O000108,U01403,P0102,2025-06-14,3,37.71,Alipay
O000109,U03069,P0044,2025-03-25,1,70.32,CreditCard
O000110,U08811,P0155,2025-06-14,4,4.62,CreditCard
O000111,U04775,P0119,2025-01-01,3,33.56,CreditCard
O000112,U05210,P0062,2025-05-30,2,74.9,CreditCard
O000113,U02222,P0028,2025-05-18,2,20.29,Alipay
O000114,U07809,P0160,2025-03-29,3,66.69,Alipay
O000115,U07108,P0039,2025-04-30,4,98.38,Alipay
O000116,U06229,P0127,2025-06-04,1,64.68,Alipay
O000117,U03080,P0141,2025-01-07,3,20.86,CreditCard
O000118,U08720,P0190,2025-04-05,3,29.29,Wechat
O000119,U01187,P0008,2025-03-23,3,29.83,CreditCard
O000120,U07223,P0032,2025-03-16,1,24.33,Wechat
O000121,U07911,P0085,2025-04-10,4,13.65,CreditCard
O000122,U09367,P0049,2025-05-30,4,46.43,Wechat
O000123,U05776,P0152,2025-02-05,3,47.91,Alipay
O000124,U08756,P0024,2025-03-31,1,51.32,CreditCard
