user_id,gender,age,city,register_date,user_level,source_channel
U00001,M,46,Shanghai,2025-06-13,None,Google
U00002,M,38,Beijing,2025-03-12,None,Douyin
U00003,M,28,Nanjing,2025-02-05,None,XHS
U00004,M,41,Guangzhou,2025-05-20,Silver,Douyin
U00005,M,41,Shanghai,2025-04-19,Gold,Douyin
U00006,M,38,Beijing,2025-01-24,Silver,Wechat
U00007,M,42,Guangzhou,2025-05-10,None,Wechat
U00008,F,45,Beijing,2025-02-20,Platinum,Douyin
U00009,F,20,Chengdu,2025-04-25,Gold,Wechat
U00010,M,26,Nanjing,2025-01-02,None,Organic
U00011,F,31,Shenzhen,2025-04-19,Gold,XHS
U00012,M,19,Chengdu,2025-02-09,Silver,XHS
U00013,M,24,Shanghai,2025-03-28,Silver,Google
U00014,M,52,Shenzhen,2025-04-08,Gold,Douyin
U00015,F,21,Chengdu,2025-03-30,None,Wechat
U00016,F,21,Guangzhou,2025-01-12,None,Organic
U00017,F,43,Shanghai,2025-02-01,None,XHS
U00018,F,53,Chengdu,2025-05-22,Silver,Organic
U00019,F,25,Guangzhou,2025-06-10,Silver,Wechat
U00020,M,38,Shanghai,2025-02-19,None,Douyin
U00021,M,41,Chengdu,2025-06-19,None,Douyin
U00022,M,46,Chengdu,2025-03-16,Gold,Douyin
U00023,M,24,Hangzhou,2025-03-01,None,XHS
U00024,F,25,Nanjing,2025-03-13,None,Google
U00025,M,34,Shenzhen,2025-04-04,Silver,Google
U00026,M,22,Nanjing,2025-04-01,Gold,Wechat
U00027,M,45,Guangzhou,2025-03-10,Gold,Wechat
U00028,M,51,Guangzhou,2025-06-12,None,XHS
U00029,M,41,Hangzhou,2025-03-04,Silver,Wechat
U00030,F,39,Nanjing,2025-04-08,Gold,XHS
U00031,M,54,Nanjing,2025-06-26,Platinum,Google
U00032,M,22,Beijing,2025-03-25,Silver,Google
U00033,F,44,Hangzhou,2025-01-09,Silver,XHS
U00034,M,30,Beijing,2025-03-10,None,Organic
U00035,F,49,Beijing,2025-05-26,Silver,Douyin
U00036,F,32,Hangzhou,2025-06-17,Silver,Douyin
U00037,F,49,Beijing,2025-06-14,Silver,Wechat
U00038,M,45,Beijing,2025-03-09,Gold,Google
U00039,F,23,Nanjing,2025-05-24,None,Douyin
U00040,F,37,Guangzhou,2025-05-30,Gold,Wechat
U00041,F,45,Beijing,2025-04-13,None,Organic
U00042,F,18,Shanghai,2025-02-05,None,XHS
U00043,M,30,Beijing,2025-01-13,Gold,Douyin
U00044,M,25,Chengdu,2025-06-10,Silver,XHS
U00045,F,50,Guangzhou,2025-06-24,None,XHS
U00046,F,32,Hangzhou,2025-01-17,None,Douyin
U00047,F,41,Guangzhou,2025-06-02,Silver,XHS
U00048,M,29,Nanjing,2025-03-06,None,XHS
U00049,F,54,Chengdu,2025-01-30,None,Douyin
U00050,F,19,Shanghai,2025-06-14,Silver,Douyin
U00051,F,54,Beijing,2025-03-17,None,Wechat
U00052,M,19,Nanjing,2025-04-27,Silver,XHS
U00053,M,23,Guangzhou,2025-03-09,None,Wechat
U00054,F,28,Chengdu,2025-01-28,None,Douyin
U00055,M,41,Beijing,2025-06-13,None,Organic
U00056,M,39,Guangzhou,2025-04-06,Silver,Douyin
U00057,M,50,Guangzhou,2025-05-16,None,Wechat
U00058,F,33,Shanghai,2025-03-24,None,Wechat
U00059,F,53,Chengdu,2025-01-29,None,Wechat
U00060,M,36,Shanghai,2025-03-20,None,Douyin
